scientificName,decimalLatitude,decimalLongitude,date_year,depth,country,basisOfRecord,datasetName
Orcinus orca,68.08,14.95,2000.0,,,HumanObservation,
Orcinus orca,44.0223,-59.0137,2010.0,,,HumanObservation,EC-CWS Eastern Canada Seabirds at Sea
Orcinus orca,-63.008406,-60.491683,2017.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,65.8,2.22,2004.0,,,HumanObservation,
Orcinus orca,58.1,-135.5,2012.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,61.68533,-3.06661,1995.0,,,HumanObservation,JNCC seabird distribution and abundance data (all trips) from ESAS database
Orcinus orca,52.2465,-175.0975,2005.0,,,HumanObservation,Lamont-Doherty/LGL/NSF cruises
Orcinus orca,66.32,4.18,2014.0,,,HumanObservation,
Orcinus orca,60.581167,-1.313833,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,59.9048,-177.5155,2002.0,,,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey
Orcinus orca,-64.3186,-63.0503,2023.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-64.7295,-63.0143,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-55.105382,-36.068795,2025.0,,,HumanObservation,Happywhale - Killer whale in South Atlantic Ocean
Orcinus orca,57.61,-6.69,1998.0,,,HumanObservation,UK Royal Navy Marine Mammal Observations
Orcinus orca,-64.4971,-62.3741,2020.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,57.47,1.07,2006.0,,,HumanObservation,
Orcinus orca,-42.512616,-63.597945,2022.0,,,HumanObservation,Happywhale - Killer whale in South Atlantic Ocean
Orcinus orca,57.02085,-133.16414,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,37.679382,-123.018894,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,32.516555,-117.312834,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,36.8,-122.0,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,72.73,8.92,1998.0,,,HumanObservation,
Orcinus orca,63.518218,-21.269531,2024.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,48.4,-123.0,2012.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.0432,-147.7423,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-44.1,147.0,2013.0,420.9285714,,HumanObservation,
Orcinus orca,56.65,-6.05,2004.0,,,HumanObservation,Hebridean Dolphin and Whale Trust killer whale sightings 1990-2006
Orcinus orca,36.807077,-121.900968,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,40.37933,-68.10644,2004.0,,,HumanObservation,NEFSC Right Whale Aerial Survey
Orcinus orca,58.320608,-134.748557,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.3,-147.0,2017.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the northern Gulf of Alaska
Orcinus orca,-54.6301,158.9041,1996.0,,Australia,HumanObservation,
Orcinus orca,36.798213,-121.825917,2019.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,57.416667,-6.8,1998.0,,,HumanObservation,Hebridean Dolphin and Whale Trust killer whale sightings 1990-2006
Orcinus orca,60.3,-147.0,2019.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the northern Gulf of Alaska
Orcinus orca,-38.626,142.943,1997.0,,Australia,HumanObservation,
Orcinus orca,58.661733,-3.496533,2017.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,33.420686,-118.684869,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.2698,-134.71153,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,59.97765,-1.196317,2017.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,69.12,16.05,2010.0,,,HumanObservation,
Orcinus orca,9.6833,-82.625,2007.0,,,HumanObservation,Killer whales of the Caribbean Sea 1866-2012
Orcinus orca,58.873,-3.056,2011.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,67.947111,13.146472,2023.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,59.707788,-149.521758,2018.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-64.27875,-66.769533,2026.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,59.555317,-1.6089,2007.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,58.34,-134.72,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,69.8,18.58,2013.0,,,HumanObservation,
Orcinus orca,-60.157,-67.545,2018.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,22.8938,-109.8156,2026.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,59.4,3.03,2000.0,,,HumanObservation,
Orcinus orca,63.284167,-20.584722,2024.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,-34.578709,119.700912,2022.0,,,HumanObservation,Happywhale - Killer whale in Indian Ocean
